sku_id,horizon_week,forecast_units
NB-BAT-BAT-035,1,29.58
NB-BAT-BAT-035,2,29.86
NB-BAT-BAT-035,3,29.86
NB-BAT-BAT-035,4,29.75
NB-BAT-BAT-035,5,29.75
NB-BAT-BAT-035,6,29.99
NB-BAT-BAT-035,7,29.85
NB-BAT-BAT-035,8,29.85
NB-BAT-BAT-036,1,28.03
NB-BAT-BAT-036,2,28.03
NB-BAT-BAT-036,3,28.03
NB-BAT-BAT-036,4,27.91
NB-BAT-BAT-036,5,27.91
NB-BAT-BAT-036,6,27.91
NB-BAT-BAT-036,7,27.91
NB-BAT-BAT-036,8,27.91
NB-BAT-DIS-037,1,27.97
NB-BAT-DIS-037,2,28.25
NB-BAT-DIS-037,3,28.25
NB-BAT-DIS-037,4,28.25
NB-BAT-DIS-037,5,28.25
NB-BAT-DIS-037,6,28.21
NB-BAT-DIS-037,7,28.21
NB-BAT-DIS-037,8,28.21
NB-BAT-DIS-038,1,27.57
NB-BAT-DIS-038,2,27.77
NB-BAT-DIS-038,3,27.77
NB-BAT-DIS-038,4,27.65
NB-BAT-DIS-038,5,27.65
NB-BAT-DIS-038,6,27.61
NB-BAT-DIS-038,7,27.61
NB-BAT-DIS-038,8,27.61
NB-BAT-ROB-039,1,27.82
NB-BAT-ROB-039,2,27.82
NB-BAT-ROB-039,3,27.82
NB-BAT-ROB-039,4,27.82
NB-BAT-ROB-039,5,27.82
NB-BAT-ROB-039,6,27.69
NB-BAT-ROB-039,7,27.69
NB-BAT-ROB-039,8,27.69
NB-BAT-ROB-040,1,27.84
NB-BAT-ROB-040,2,28.03
NB-BAT-ROB-040,3,28.03
NB-BAT-ROB-040,4,27.92
NB-BAT-ROB-040,5,27.92
NB-BAT-ROB-040,6,27.87
NB-BAT-ROB-040,7,27.87
NB-BAT-ROB-040,8,27.87
NB-BAT-TOW-033,1,27.52
NB-BAT-TOW-033,2,27.72
NB-BAT-TOW-033,3,27.72
NB-BAT-TOW-033,4,27.6
NB-BAT-TOW-033,5,27.6
NB-BAT-TOW-033,6,27.56
NB-BAT-TOW-033,7,27.56
NB-BAT-TOW-033,8,27.56
NB-BAT-TOW-034,1,28.82
NB-BAT-TOW-034,2,29.01
NB-BAT-TOW-034,3,29.01
NB-BAT-TOW-034,4,28.9
NB-BAT-TOW-034,5,28.9
NB-BAT-TOW-034,6,28.76
NB-BAT-TOW-034,7,28.76
NB-BAT-TOW-034,8,28.76
NB-BED-BED-013,1,27.18
NB-BED-BED-013,2,27.46
NB-BED-BED-013,3,27.46
NB-BED-BED-013,4,27.35
NB-BED-BED-013,5,27.35
NB-BED-BED-013,6,27.3
NB-BED-BED-013,7,27.3
NB-BED-BED-013,8,27.3
NB-BED-BED-014,1,27.2
NB-BED-BED-014,2,27.2
NB-BED-BED-014,3,27.2
NB-BED-BED-014,4,27.09
NB-BED-BED-014,5,27.09
NB-BED-BED-014,6,26.95
NB-BED-BED-014,7,26.95
NB-BED-BED-014,8,26.95
NB-BED-BED-015,1,27.11
NB-BED-BED-015,2,27.19
NB-BED-BED-015,3,27.0
NB-BED-BED-015,4,27.0
NB-BED-BED-015,5,27.0
NB-BED-BED-015,6,27.25
NB-BED-BED-015,7,27.25
NB-BED-BED-015,8,27.25
NB-BED-BLA-022,1,27.82
NB-BED-BLA-022,2,28.01
NB-BED-BLA-022,3,28.01
NB-BED-BLA-022,4,27.9
NB-BED-BLA-022,5,27.9
NB-BED-BLA-022,6,28.14
NB-BED-BLA-022,7,28.14
NB-BED-BLA-022,8,28.14
NB-BED-BLA-023,1,27.9
NB-BED-BLA-023,2,27.99
NB-BED-BLA-023,3,27.99
NB-BED-BLA-023,4,27.99
NB-BED-BLA-023,5,27.99
NB-BED-BLA-023,6,28.15
NB-BED-BLA-023,7,28.15
NB-BED-BLA-023,8,28.15
NB-BED-BLA-024,1,27.62
NB-BED-BLA-024,2,27.7
NB-BED-BLA-024,3,27.7
NB-BED-BLA-024,4,27.59
NB-BED-BLA-024,5,27.59
NB-BED-BLA-024,6,27.83
NB-BED-BLA-024,7,27.94
NB-BED-BLA-024,8,27.94
NB-BED-DUV-016,1,29.45
NB-BED-DUV-016,2,29.73
NB-BED-DUV-016,3,29.54
NB-BED-DUV-016,4,29.54
NB-BED-DUV-016,5,29.54
NB-BED-DUV-016,6,29.5
NB-BED-DUV-016,7,29.05
NB-BED-DUV-016,8,29.05
NB-BED-DUV-017,1,27.14
NB-BED-DUV-017,2,27.43
NB-BED-DUV-017,3,27.43
NB-BED-DUV-017,4,27.31
NB-BED-DUV-017,5,27.31
NB-BED-DUV-017,6,27.55
NB-BED-DUV-017,7,27.55
NB-BED-DUV-017,8,27.55
NB-BED-DUV-018,1,26.87
NB-BED-DUV-018,2,26.87
NB-BED-DUV-018,3,26.87
NB-BED-DUV-018,4,26.87
NB-BED-DUV-018,5,26.87
NB-BED-DUV-018,6,26.74
