sku_id,category,subcategory,on_hand_units,on_order_units,available_stock,lead_time_days,lead_time_demand,safety_stock,reorder_level,stockout_gap_units,overstock_excess_units,stockout_risk_score,overstock_risk_score,cumulative_forecast_demand,weekly_forecast,action,action_rationale,sales_at_risk_inr,capital_locked_inr,unit_price,unit_cost
NB-BAT-BAT-035,Bath,Bath Mats,39,211,250,21,89.3,51.4,140.7,0.0,0.0,0.0,0.0,238.5,"[29.58, 29.86, 29.86, 29.75, 29.75, 29.99, 29.85, 29.85]",HEALTHY,Inventory (250) covers lead-time demand (89) with adequate safety buffer (51).,0.0,0.0,575.24,332.61
NB-BAT-BAT-036,Bath,Bath Mats,105,52,157,35,139.9,51.2,191.1,34.1,0.0,0.1785,0.0,223.7,"[28.03, 28.03, 28.03, 27.91, 27.91, 27.91, 27.91, 27.91]",HEALTHY,Inventory (157) covers lead-time demand (139) with adequate safety buffer (51).,234134.46,0.0,6861.27,3161.23
NB-BAT-DIS-037,Bath,Dispensers,4,4,8,7,28.0,30.8,58.8,50.8,0.0,0.8639,0.0,225.6,"[27.97, 28.25, 28.25, 28.25, 28.25, 28.21, 28.21, 28.21]",REORDER NOW,Projected available stock (8) is below reorder level (58) across 7d lead time. Gap of 50 units.,225229.89,0.0,4436.43,2510.43
NB-BAT-DIS-038,Bath,Dispensers,75,400,475,21,83.1,50.4,133.5,0.0,92.8,0.0,0.2795,221.2,"[27.57, 27.77, 27.77, 27.65, 27.65, 27.61, 27.61, 27.61]",HEALTHY,Inventory (475) covers lead-time demand (83) with adequate safety buffer (50).,0.0,250942.83,5071.69,2705.54
NB-BAT-ROB-039,Bath,Robes,172,86,258,21,83.5,44.7,128.2,0.0,0.0,0.0,0.0,222.2,"[27.82, 27.82, 27.82, 27.82, 27.82, 27.69, 27.69, 27.69]",HEALTHY,Inventory (258) covers lead-time demand (83) with adequate safety buffer (44).,0.0,0.0,5345.25,2196.31
NB-BAT-ROB-040,Bath,Robes,77,38,115,14,55.9,36.0,91.9,0.0,0.0,0.0,0.0,223.4,"[27.84, 28.03, 28.03, 27.92, 27.92, 27.87, 27.87, 27.87]",HEALTHY,Inventory (115) covers lead-time demand (55) with adequate safety buffer (36).,0.0,0.0,8406.97,3271.52
NB-BAT-TOW-033,Bath,Towels,559,90,649,28,110.6,46.0,156.6,0.0,271.8,0.0,0.8204,220.8,"[27.52, 27.72, 27.72, 27.6, 27.6, 27.56, 27.56, 27.56]",MARKDOWN / CLEAR,"Current stock (649) exceeds 12-week demand (331). ₹563,653 working capital locked in 271 excess units.",0.0,563652.78,5237.56,2074.15
NB-BAT-TOW-034,Bath,Towels,95,47,142,7,28.8,24.5,53.3,0.0,0.0,0.0,0.0,230.9,"[28.82, 29.01, 29.01, 28.9, 28.9, 28.76, 28.76, 28.76]",HEALTHY,Inventory (142) covers lead-time demand (28) with adequate safety buffer (24).,0.0,0.0,935.52,381.41
NB-BED-BED-013,Bedding,Bedsheets,335,79,414,7,27.2,25.7,52.9,0.0,60.2,0.0,0.1836,218.7,"[27.18, 27.46, 27.46, 27.35, 27.35, 27.3, 27.3, 27.3]",HEALTHY,Inventory (414) covers lead-time demand (27) with adequate safety buffer (25).,0.0,125312.24,4291.42,2080.69
NB-BED-BED-014,Bedding,Bedsheets,86,460,546,7,27.2,27.8,55.0,0.0,193.2,0.0,0.5946,216.7,"[27.2, 27.2, 27.2, 27.09, 27.09, 26.95, 26.95, 26.95]",MARKDOWN / CLEAR,"Current stock (546) exceeds 12-week demand (324). ₹109,638 working capital locked in 193 excess units.",0.0,109637.9,1373.79,567.43
NB-BED-BED-015,Bedding,Bedsheets,217,108,325,28,108.3,52.1,160.4,0.0,0.0,0.0,0.0,217.1,"[27.11, 27.19, 27.0, 27.0, 27.0, 27.25, 27.25, 27.25]",HEALTHY,Inventory (325) covers lead-time demand (108) with adequate safety buffer (52).,0.0,0.0,5761.45,2470.61
NB-BED-BLA-022,Bedding,Blankets,188,94,282,28,111.7,47.9,159.6,0.0,0.0,0.0,0.0,224.1,"[27.82, 28.01, 28.01, 27.9, 27.9, 28.14, 28.14, 28.14]",HEALTHY,Inventory (282) covers lead-time demand (111) with adequate safety buffer (47).,0.0,0.0,5969.52,2943.4
NB-BED-BLA-023,Bedding,Blankets,234,117,351,28,111.9,50.0,161.9,0.0,0.0,0.0,0.0,224.3,"[27.9, 27.99, 27.99, 27.99, 27.99, 28.15, 28.15, 28.15]",HEALTHY,Inventory (351) covers lead-time demand (111) with adequate safety buffer (50).,0.0,0.0,2242.99,1147.0
NB-BED-BLA-024,Bedding,Blankets,193,96,289,14,55.3,36.7,92.0,0.0,0.0,0.0,0.0,221.9,"[27.62, 27.7, 27.7, 27.59, 27.59, 27.83, 27.94, 27.94]",HEALTHY,Inventory (289) covers lead-time demand (55) with adequate safety buffer (36).,0.0,0.0,1370.67,492.29
NB-BED-DUV-016,Bedding,Duvets,144,72,216,7,29.4,31.4,60.8,0.0,0.0,0.0,0.0,235.4,"[29.45, 29.73, 29.54, 29.54, 29.54, 29.5, 29.05, 29.05]",HEALTHY,Inventory (216) covers lead-time demand (29) with adequate safety buffer (31).,0.0,0.0,973.56,361.76
NB-BED-DUV-017,Bedding,Duvets,800,162,962,7,27.1,27.9,55.0,0.0,605.2,0.0,1.0,219.3,"[27.14, 27.43, 27.43, 27.31, 27.31, 27.55, 27.55, 27.55]",MARKDOWN / CLEAR,"Current stock (962) exceeds 12-week demand (328). ₹509,733 working capital locked in 605 excess units.",0.0,509732.64,2111.09,842.27
NB-BED-DUV-018,Bedding,Duvets,88,473,561,7,26.9,26.2,53.1,0.0,212.9,0.0,0.6616,214.6,"[26.87, 26.87, 26.87, 26.87, 26.87, 26.74, 26.74, 26.74]",MARKDOWN / CLEAR,"Current stock (561) exceeds 12-week demand (321). ₹197,146 working capital locked in 212 excess units.",0.0,197146.35,2112.0,925.81
NB-BED-PIL-019,Bedding,Pillows,61,329,390,35,137.8,59.7,197.5,0.0,0.0,0.0,0.0,221.1,"[27.61, 27.61, 27.61, 27.5, 27.5, 27.74, 27.74, 27.74]",HEALTHY,Inventory (390) covers lead-time demand (137) with adequate safety buffer (59).,0.0,0.0,7552.66,2769.18
NB-BED-PIL-020,Bedding,Pillows,586,142,728,21,81.6,44.5,126.1,0.0,356.4,0.0,1.0,218.0,"[27.06, 27.26, 27.26, 27.14, 27.14, 27.39, 27.39, 27.39]",MARKDOWN / CLEAR,"Current stock (728) exceeds 12-week demand (327). ₹931,612 working capital locked in 356 excess units.",0.0,931612.35,5205.96,2613.63
NB-BED-PIL-021,Bedding,Pillows,6,1,7,35,141.4,55.4,196.8,189.8,0.0,0.9644,0.0,225.9,"[28.32, 28.32, 28.32, 28.21, 28.21, 28.16, 28.16, 28.16]",REORDER NOW,Projected available stock (7) is below reorder level (196) across 35d lead time. Gap of 189 units.,1419093.29,0.0,7477.22,2994.74
NB-HOM-CAN-007,Home Decor,Candles,10,1,11,28,112.0,51.7,163.7,152.7,0.0,0.9328,0.0,223.8,"[27.81, 28.1, 28.1, 27.98, 27.98, 27.94, 27.94, 27.94]",REORDER NOW,Projected available stock (11) is below reorder level (163) across 28d lead time. Gap of 152 units.,632489.76,0.0,4142.32,1955.46
NB-HOM-CAN-008,Home Decor,Candles,503,98,601,28,110.8,58.3,169.1,0.0,209.2,0.0,0.6272,222.3,"[27.52, 27.81, 27.81, 27.69, 27.69, 27.94, 27.94, 27.94]",MARKDOWN / CLEAR,"Current stock (601) exceeds 12-week demand (333). ₹409,069 working capital locked in 209 excess units.",0.0,409069.2,4067.16,1955.52
NB-HOM-CAN-009,Home Decor,Candles,527,81,608,7,26.7,24.6,51.3,0.0,263.3,0.0,0.8224,213.4,"[26.69, 26.69, 26.69, 26.69, 26.69, 26.65, 26.65, 26.65]",MARKDOWN / CLEAR,"Current stock (608) exceeds 12-week demand (320). ₹456,041 working capital locked in 263 excess units.",0.0,456040.68,4403.69,1732.23
NB-HOM-CUS-010,Home Decor,Cushions,58,314,372,14,54.6,32.1,86.7,0.0,13.2,0.0,0.0403,217.8,"[27.32, 27.32, 27.32, 27.2, 27.2, 27.16, 27.16, 27.16]",HEALTHY,Inventory (372) covers lead-time demand (54) with adequate safety buffer (32).,0.0,19636.87,4150.36,1493.0
