date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2025-12-31,NB-HOM-VAS-001,7,1,21,109
2025-12-31,NB-HOM-VAS-002,217,108,21,244
2025-12-31,NB-HOM-VAS-003,18,3,28,273
2025-12-31,NB-HOM-WAL-004,17,4,28,237
2025-12-31,NB-HOM-WAL-005,171,85,28,257
2025-12-31,NB-HOM-WAL-006,6,1,28,278
2025-12-31,NB-HOM-CAN-007,10,1,28,228
2025-12-31,NB-HOM-CAN-008,503,98,28,147
2025-12-31,NB-HOM-CAN-009,527,81,7,30
2025-12-31,NB-HOM-CUS-010,58,314,14,117
2025-12-31,NB-HOM-CUS-011,976,185,35,348
2025-12-31,NB-HOM-CUS-012,674,128,7,48
2025-12-31,NB-BED-BED-013,335,79,7,29
2025-12-31,NB-BED-BED-014,86,460,7,86
2025-12-31,NB-BED-BED-015,217,108,28,326
2025-12-31,NB-BED-DUV-016,144,72,7,54
2025-12-31,NB-BED-DUV-017,800,162,7,60
2025-12-31,NB-BED-DUV-018,88,473,7,88
2025-12-31,NB-BED-PIL-019,61,329,35,308
2025-12-31,NB-BED-PIL-020,586,142,21,160
2025-12-31,NB-BED-PIL-021,6,1,35,126
2025-12-31,NB-BED-BLA-022,188,94,28,282
2025-12-31,NB-BED-BLA-023,234,117,28,352
2025-12-31,NB-BED-BLA-024,193,96,14,145
2025-12-31,NB-KIT-DIN-025,450,81,28,122
2025-12-31,NB-KIT-DIN-026,171,85,21,192
2025-12-31,NB-KIT-GLA-027,10,4,7,49
2025-12-31,NB-KIT-GLA-028,228,114,7,85
2025-12-31,NB-KIT-CUT-029,447,82,28,123
2025-12-31,NB-KIT-CUT-030,90,45,28,136
2025-12-31,NB-KIT-TAB-031,26,1,35,417
2025-12-31,NB-KIT-TAB-032,3,2,7,34
2025-12-31,NB-BAT-TOW-033,559,90,28,135
2025-12-31,NB-BAT-TOW-034,95,47,7,35
2025-12-31,NB-BAT-BAT-035,39,211,21,118
2025-12-31,NB-BAT-BAT-036,105,52,35,197
2025-12-31,NB-BAT-DIS-037,4,4,7,23
2025-12-31,NB-BAT-DIS-038,75,400,21,225
2025-12-31,NB-BAT-ROB-039,172,86,21,193
2025-12-31,NB-BAT-ROB-040,77,38,14,57
