date,sku_id,units_sold,revenue,unit_price,promo_flag
2024-01-02,NB-HOM-WAL-005,8,56629.92,7078.74,0
2024-01-03,NB-HOM-WAL-005,4,28314.96,7078.74,0
2024-01-04,NB-HOM-WAL-005,14,82500.46,5892.89,1
2024-01-05,NB-HOM-WAL-005,5,35393.7,7078.74,0
2024-01-05,NB-BAT-TOW-033,8,32602.24,4075.28,1
2024-01-06,NB-HOM-WAL-005,5,35393.7,7078.74,0
2024-01-06,NB-BAT-TOW-033,1,5237.56,5237.56,0
2024-01-07,NB-HOM-WAL-005,4,28314.96,7078.74,0
2024-01-07,NB-BAT-TOW-033,3,15712.68,5237.56,0
2024-01-08,NB-HOM-WAL-005,8,56629.92,7078.74,0
2024-01-08,NB-BED-DUV-016,6,5841.36,973.56,0
2024-01-08,NB-BAT-TOW-033,2,10475.12,5237.56,0
2024-01-09,NB-HOM-WAL-005,0,0.0,7078.74,0
2024-01-09,NB-BED-DUV-016,8,7788.48,973.56,0
2024-01-09,NB-BAT-TOW-033,1,5237.56,5237.56,0
2024-01-10,NB-HOM-WAL-005,10,70787.4,7078.74,0
2024-01-10,NB-BED-DUV-016,4,3894.24,973.56,0
2024-01-10,NB-BAT-TOW-033,7,36662.92,5237.56,0
2024-01-11,NB-HOM-WAL-005,11,77866.14,7078.74,0
2024-01-11,NB-BED-DUV-016,12,11682.72,973.56,0
2024-01-11,NB-BAT-TOW-033,1,5237.56,5237.56,0
2024-01-12,NB-HOM-WAL-005,1,7078.74,7078.74,0
2024-01-12,NB-BED-DUV-016,3,2920.68,973.56,0
2024-01-12,NB-KIT-CUT-029,0,0.0,2221.76,0
2024-01-12,NB-BAT-TOW-033,7,36662.92,5237.56,0
2024-01-13,NB-HOM-WAL-005,27,171044.46,6334.98,1
2024-01-13,NB-BED-DUV-016,1,973.56,973.56,0
2024-01-13,NB-KIT-CUT-029,10,22217.6,2221.76,0
2024-01-13,NB-BAT-TOW-033,4,18662.48,4665.62,1
2024-01-14,NB-HOM-WAL-005,4,28314.96,7078.74,0
2024-01-14,NB-BED-DUV-016,6,5841.36,973.56,0
2024-01-14,NB-BED-PIL-020,11,57265.56,5205.96,0
2024-01-14,NB-KIT-CUT-029,9,17618.58,1957.62,1
2024-01-14,NB-BAT-TOW-033,2,10475.12,5237.56,0
2024-01-15,NB-HOM-WAL-005,9,63708.66,7078.74,0
2024-01-15,NB-HOM-CAN-009,5,22018.45,4403.69,0
2024-01-15,NB-BED-DUV-016,4,3894.24,973.56,0
2024-01-15,NB-BED-PIL-020,3,15617.88,5205.96,0
2024-01-15,NB-KIT-CUT-029,6,13330.56,2221.76,0
2024-01-15,NB-BAT-TOW-033,1,5237.56,5237.56,0
2024-01-16,NB-HOM-WAL-005,1,7078.74,7078.74,0
2024-01-16,NB-HOM-CAN-009,3,13211.07,4403.69,0
2024-01-16,NB-BED-DUV-016,3,2920.68,973.56,0
2024-01-16,NB-BED-PIL-020,9,46853.64,5205.96,0
2024-01-16,NB-KIT-CUT-029,1,2221.76,2221.76,0
2024-01-16,NB-BAT-TOW-033,15,68860.35,4590.69,1
2024-01-17,NB-HOM-WAL-005,4,28314.96,7078.74,0
2024-01-17,NB-HOM-CAN-009,3,13211.07,4403.69,0
2024-01-17,NB-BED-DUV-016,10,9735.6,973.56,0
2024-01-17,NB-BED-PIL-020,5,26029.8,5205.96,0
2024-01-17,NB-KIT-CUT-029,14,31104.64,2221.76,0
2024-01-17,NB-BAT-TOW-033,16,69111.2,4319.45,1
2024-01-18,NB-HOM-WAL-005,9,63708.66,7078.74,0
2024-01-18,NB-HOM-CAN-009,9,39633.21,4403.69,0
2024-01-18,NB-BED-DUV-016,13,9690.72,745.44,1
2024-01-18,NB-BED-PIL-020,4,20823.84,5205.96,0
2024-01-18,NB-KIT-CUT-029,3,6665.28,2221.76,0
2024-01-18,NB-BAT-TOW-033,7,36662.92,5237.56,0
2024-01-19,NB-HOM-WAL-005,9,63708.66,7078.74,0
2024-01-19,NB-HOM-CAN-009,2,7699.62,3849.81,1
2024-01-19,NB-BED-DUV-016,4,3894.24,973.56,0
2024-01-19,NB-BED-PIL-020,3,13528.41,4509.47,1
2024-01-19,NB-KIT-CUT-029,2,4443.52,2221.76,0
2024-01-19,NB-BAT-TOW-033,3,15712.68,5237.56,0
2024-01-20,NB-HOM-WAL-005,9,63708.66,7078.74,0
2024-01-20,NB-HOM-CAN-009,7,30825.83,4403.69,0
2024-01-20,NB-BED-DUV-016,1,973.56,973.56,0
2024-01-20,NB-BED-PIL-020,5,26029.8,5205.96,0
2024-01-20,NB-KIT-CUT-029,7,15552.32,2221.76,0
2024-01-20,NB-BAT-TOW-033,3,15712.68,5237.56,0
2024-01-21,NB-HOM-WAL-005,1,7078.74,7078.74,0
2024-01-21,NB-HOM-CAN-009,3,13211.07,4403.69,0
2024-01-21,NB-BED-DUV-016,8,7788.48,973.56,0
2024-01-21,NB-BED-PIL-020,9,46853.64,5205.96,0
2024-01-21,NB-KIT-CUT-029,4,8887.04,2221.76,0
2024-01-21,NB-BAT-TOW-033,0,0.0,5237.56,0
2024-01-22,NB-HOM-WAL-005,5,35393.7,7078.74,0
2024-01-22,NB-HOM-CAN-009,6,26422.14,4403.69,0
2024-01-22,NB-BED-DUV-016,15,10978.5,731.9,1
2024-01-22,NB-BED-PIL-020,1,5205.96,5205.96,0
2024-01-22,NB-KIT-CUT-029,8,17774.08,2221.76,0
2024-01-22,NB-BAT-TOW-033,6,31425.36,5237.56,0
2024-01-23,NB-HOM-WAL-005,7,49551.18,7078.74,0
2024-01-23,NB-HOM-CAN-009,1,4403.69,4403.69,0
2024-01-23,NB-BED-DUV-016,6,5841.36,973.56,0
2024-01-23,NB-BED-PIL-020,2,10411.92,5205.96,0
2024-01-23,NB-KIT-CUT-029,6,13330.56,2221.76,0
2024-01-23,NB-BAT-TOW-033,5,26187.8,5237.56,0
2024-01-24,NB-HOM-WAL-005,9,63708.66,7078.74,0
2024-01-24,NB-HOM-CAN-009,2,8807.38,4403.69,0
2024-01-24,NB-BED-DUV-016,6,5841.36,973.56,0
2024-01-24,NB-BED-PIL-020,5,26029.8,5205.96,0
2024-01-24,NB-KIT-CUT-029,2,4443.52,2221.76,0
2024-01-24,NB-BAT-TOW-033,5,26187.8,5237.56,0
2024-01-25,NB-HOM-WAL-005,1,7078.74,7078.74,0
2024-01-25,NB-HOM-CAN-009,3,13211.07,4403.69,0
2024-01-25,NB-BED-DUV-016,1,973.56,973.56,0
2024-01-25,NB-BED-PIL-020,4,20823.84,5205.96,0
2024-01-25,NB-KIT-CUT-029,5,11108.8,2221.76,0
2024-01-25,NB-BAT-TOW-033,1,5237.56,5237.56,0
2024-01-26,NB-HOM-WAL-005,1,5438.0,5438.0,1
2024-01-26,NB-HOM-CAN-009,3,11837.88,3945.96,1
2024-01-26,NB-BED-DUV-016,12,9946.32,828.86,1
2024-01-26,NB-BED-PIL-020,12,52561.68,4380.14,1
2024-01-26,NB-KIT-CUT-029,11,19145.61,1740.51,1
2024-01-26,NB-BAT-TOW-033,5,19569.6,3913.92,1
2024-01-27,NB-HOM-WAL-005,6,42472.44,7078.74,0
2024-01-27,NB-HOM-CAN-009,1,4403.69,4403.69,0
2024-01-27,NB-BED-DUV-016,4,3894.24,973.56,0
2024-01-27,NB-BED-PIL-020,10,52059.6,5205.96,0
2024-01-27,NB-KIT-CUT-029,2,4443.52,2221.76,0
2024-01-27,NB-BAT-TOW-033,7,36662.92,5237.56,0
2024-01-28,NB-HOM-WAL-005,16,95993.12,5999.57,1
2024-01-28,NB-HOM-CAN-009,0,0.0,4403.69,0
2024-01-28,NB-BED-DUV-016,8,7788.48,973.56,0
2024-01-28,NB-BED-PIL-020,10,37302.6,3730.26,1
2024-01-28,NB-KIT-CUT-029,3,6665.28,2221.76,0
2024-01-28,NB-BAT-TOW-033,2,10475.12,5237.56,0
2024-01-28,NB-BAT-ROB-040,8,67255.76,8406.97,0
2024-01-29,NB-HOM-WAL-005,1,7078.74,7078.74,0
2024-01-29,NB-HOM-CAN-009,2,8807.38,4403.69,0
2024-01-29,NB-BED-DUV-016,5,4867.8,973.56,0
2024-01-29,NB-BED-PIL-020,5,26029.8,5205.96,0
2024-01-29,NB-KIT-CUT-029,8,17774.08,2221.76,0
2024-01-29,NB-BAT-TOW-033,3,13026.99,4342.33,1
2024-01-29,NB-BAT-ROB-040,5,42034.85,8406.97,0
2024-01-30,NB-HOM-WAL-005,10,70787.4,7078.74,0
2024-01-30,NB-HOM-CAN-009,2,8807.38,4403.69,0
2024-01-30,NB-BED-DUV-016,11,7562.61,687.51,1
2024-01-30,NB-BED-PIL-020,5,26029.8,5205.96,0
2024-01-30,NB-KIT-CUT-029,2,4443.52,2221.76,0
2024-01-30,NB-BAT-TOW-033,9,47138.04,5237.56,0
2024-01-30,NB-BAT-ROB-040,13,93548.78,7196.06,1
2024-01-31,NB-HOM-WAL-005,15,106181.1,7078.74,0
2024-01-31,NB-HOM-CAN-009,4,17614.76,4403.69,0
2024-01-31,NB-BED-DUV-016,3,2920.68,973.56,0
2024-01-31,NB-BED-PIL-020,11,57265.56,5205.96,0
2024-01-31,NB-KIT-CUT-029,6,9498.72,1583.12,1
2024-01-31,NB-BAT-TOW-033,1,5237.56,5237.56,0
2024-01-31,NB-BAT-ROB-040,4,33627.88,8406.97,0
2024-02-01,NB-HOM-WAL-005,0,0.0,7078.74,0
2024-02-01,NB-HOM-CAN-009,7,30825.83,4403.69,0
2024-02-01,NB-BED-DUV-016,4,3894.24,973.56,0
2024-02-01,NB-BED-PIL-020,3,15617.88,5205.96,0
2024-02-01,NB-KIT-CUT-029,4,8887.04,2221.76,0
2024-02-01,NB-BAT-TOW-033,11,44342.98,4031.18,1
2024-02-01,NB-BAT-ROB-040,4,33627.88,8406.97,0
2024-02-02,NB-HOM-WAL-005,1,7078.74,7078.74,0
2024-02-02,NB-HOM-CAN-009,3,13211.07,4403.69,0
