sku_id,category,subcategory,launch_date,unit_cost,list_price
NB-HOM-VAS-001,Home Decor,Vases,2024-04-12,2838.76,5166.89
NB-HOM-VAS-002,Home Decor,Vases,2024-03-12,2195.64,3924.1
NB-HOM-VAS-003,  Home Decor  ,Vases,2024-03-15,1742.56,3485.9
NB-HOM-WAL-004,Home Decor,Wall Art,2024-04-13,2551.24,4145.0
NB-HOM-WAL-005,Home Decor,Wall Art,2024-01-02,2596.5,7078.74
NB-HOM-WAL-006,Home Decor,Wall Art,2024-05-09,840.93,1530.56
NB-HOM-CAN-007,Home Decor,Candles,2024-02-27,1955.46,4142.32
NB-HOM-CAN-008,Home Decor,Candles,2024-02-18,1955.52,4067.16
NB-HOM-CAN-009,Home Decor,Candles,2024-01-15,1732.23,4403.69
NB-HOM-CUS-010,Home Decor,Cushions,2024-02-20,1493.0,4150.36
NB-HOM-CUS-011,Home Decor,Cushions,2024-05-10,3044.81,7357.38
NB-HOM-CUS-012,Home Decor,Cushions,2024-03-13,461.42,1263.67
NB-BED-BED-013,Bedding,Bedsheets,2024-02-29,2080.69,4291.42
NB-BED-BED-014,Bedding,Bedsheets,2024-03-30,567.43,1373.79
NB-BED-BED-015,Bedding,Bedsheets,2024-04-20,2470.61,5761.45
NB-BED-DUV-016,Bedding,Duvets,2024-01-08,361.76,973.56
NB-BED-DUV-017,Bedding,Duvets,2024-06-12,842.27,2111.09
NB-BED-DUV-018,Bedding,Duvets,2024-05-13,925.81,2112.0
NB-BED-PIL-019,Bedding,Pillows,2024-05-25,2769.18,7552.66
NB-BED-PIL-020,Bedding,Pillows,2024-01-14,2613.63,5205.96
NB-BED-PIL-021,Bedding,Pillows,2024-02-09,2994.74,7477.22
NB-BED-BLA-022,Bedding,Blankets,2024-04-20,2943.4,5969.52
NB-BED-BLA-023,Bedding,Blankets,2024-05-03,1147.0,2242.99
NB-BED-BLA-024,Bedding,Blankets,2024-02-14,492.29,1370.67
NB-KIT-DIN-025,Kitchen & Dining,Dinnerware,2024-03-28,1533.36,2993.4
NB-KIT-DIN-026,Kitchen & Dining,Dinnerware,2024-03-03,2900.25,7100.48
NB-KIT-GLA-027,Kitchen & Dining,Glassware,2024-06-11,2818.07,6558.08
NB-KIT-GLA-028,Kitchen & Dining,Glassware,2024-02-10,3223.62,8446.03
NB-KIT-CUT-029,Kitchen & Dining,Cutlery,2024-01-12,1325.42,2221.76
NB-KIT-CUT-030,Kitchen & Dining,Cutlery,2024-05-30,2423.73,5814.79
NB-KIT-TAB-031,Kitchen & Dining,Table Linen,2024-06-20,2322.06,6187.49
NB-KIT-TAB-032,Kitchen & Dining,Table Linen,2024-04-10,3408.06,8924.68
NB-BAT-TOW-033,Bath,Towels,2024-01-05,2074.15,5237.56
NB-BAT-TOW-034,Bath,Towels,2024-04-12,381.41,935.52
NB-BAT-BAT-035,Bath,Bath Mats,2024-03-30,332.61,575.24
NB-BAT-BAT-036,Bath,Bath Mats,2024-03-03,3161.23,6861.27
NB-BAT-DIS-037,Bath,Dispensers,2024-04-05,2510.43,4436.43
NB-BAT-DIS-038,Bath,Dispensers,2024-05-22,2705.54,5071.69
NB-BAT-ROB-039,Bath,Robes,2024-06-08,2196.31,5345.25
NB-BAT-ROB-040,Bath,Robes,2024-01-28,3271.52,8406.97
